Number,ITEM,Name,Name,Name,Name,Name,Function,Function,Construction Year,Construction Year,Construction Year,Construction Year,Associated Figure,Associated Figure,Associated Figure,,,Location,Location,Location,Location,Location,
Monument ID,Name_Ministry of Antiquity_en,Ministry of Antiquity_ar,Ministry of Antiquity_variant,D. Abouseif_en,Napoleon's Map_ar,Napoleon's Map_fr,Facility Number,Facility Name,Ministry of Antiquity_AH,Ministry of Antiquity_AD,Abouseif,Fukami,Arabic,Variant,English,Latitude,Longtitude,Ministry of Antiquities,Nicholas Warner,Napoleon's Map_Region,Napoleon's Map_Area,Napoleon's Map_Monument ID,URL
1,Sultan Zahir Bibars,جامع السلطان الظاهر بيبرس البندقدارى,as-Sultān aẓ-Ẓāhir Bībars al-Bunduqdārī,Sultan Zahir Bibars,N/A,N/A,a,minaret,665-67,1266-69,1267-9,1266,السلطان الظاهر بيبرس البندقدارى,al-Sulṭān al-Ẓāhir Baybars al-Bunduqdārī,al-Sultan Baybars al-Bunduqdari,30.062699,31.263206,1H,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument1
1,Sultan Zahir Bibars,جامع السلطان الظاهر بيبرس البندقدارى,as-Sultān aẓ-Ẓāhir Bībars al-Bunduqdārī,Sultan Zahir Bibars,N/A,N/A,b,mosque,665-67,1266-69,1267-9,1266,السلطان الظاهر بيبرس البندقدارى,al-Sulṭān al-Ẓāhir Baybars al-Bunduqdārī,al-Sultan Baybars al-Bunduqdari,30.062699,31.263206,1H,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument1
2,al-Adil Tumanbay,قبة طومانباى,al-ʻĀdil Ṭūmānbāy,Sultan al-Adil Tumanbay(1501),N/A,N/A,a,minaret,906,1501,1501,1501,السلطان العادل طومانباى,al-Sulṭān al-'Ādil Ṭūmānbāy,al-Sultan al-Adil Tumanbay,30.072064,31.292916,1K,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument2
2,al-Adil Tumanbay,قبة طومانباى,al-ʻĀdil Ṭūmānbāy,Sultan al-Adil Tumanbay(1501),N/A,N/A,b,mausoleum,906,1501,1501,1501,السلطان العادل طومانباى,al-Sulṭān al-'Ādil Ṭūmānbāy,al-Sultan al-Adil Tumanbay,30.072064,31.292916,1K,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument2
3,"Abu'l-Ghadanfar al-Fa'izi, Sidi Ma'az",قبة ابو الغضنفر اسد الفائزى,Abū’l-Ghadanfar al-Fāʼizī (Sīdī Maʻāz),N/A,جامع السيد ميعاد,Gâma’ el-Seyd Mya’ âd ,a,minaret,beginning 7th cent. 552,13th cent. 1157,1157,1157,ابو الغضنفر اسد الفائزى,Abū al-Ghaḍanfar Asad al-Fāʼizī,Abu al-Ghadanfar Asad al-Faizi,30.046317,31.266275,5J,5,VII,I-3,16,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument3
3,"Abu'l-Ghadanfar al-Fa'izi, Sidi Ma'az",قبة ابو الغضنفر اسد الفائزى,Abū’l-Ghadanfar al-Fāʼizī (Sīdī Maʻāz),N/A,جامع السيد ميعاد,Gâma’ el-Seyd Mya’ âd ,b,mosque,beginning 7th cent. 552,13th cent. 1157,1157,1157,ابو الغضنفر اسد الفائزى,Abū al-Ghaḍanfar Asad al-Fāʼizī,Abu al-Ghadanfar Asad al-Faizi,N/A,N/A,5J,5,VII,I-3,16,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument3
3,"Abu'l-Ghadanfar al-Fa'izi, Sidi Ma'az",قبة ابو الغضنفر اسد الفائزى,Abū’l-Ghadanfar al-Fāʼizī (Sīdī Maʻāz),"Abu'l Ghadanfar (Fatimid Amir), at the site of  Mashhad for Sayyid Mu'ad(Sidi Ma'az, d. 907)",جامع السيد ميعاد,Gâma’ el-Seyd Mya’ âd ,c,mausoleum,beginning 7th cent. 552,13th cent. 1157,N/A,1462,ابو الغضنفر اسد الفائزى,Abū al-Ghaḍanfar Asad al-Fāʼizī,Abu al-Ghadanfar Asad al-Faizi,30.046325,31.266208,5J,5,VII,N/A,16,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument3
4,Amir Yashbak min Mahdi,قبة الامير يشبك من مهدى,Amīr Yashbak min Mahdī,N/A,N/A,N/A,a,mosque,N/A,N/A,1477,1477-86,الامير يشبك من مهدى,al-Amīr Yashbak min Mahdī,al-Amir Yashbak min Mahdi,30.089216,31.290456,N/A,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument4
4,Amir Yashbak min Mahdi,قبة الامير يشبك من مهدى,Amīr Yashbak min Mahdī,N/A,N/A,N/A,b,mausoleum,N/A,N/A,N/A,1861,الامير يشبك من مهدى,al-Amīr Yashbak min Mahdī,al-Amir Yashbak min Mahdi,30.089111,31.290355,N/A,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument4
